key,fare_amount
2015-01-27 13:08:24.0000002,10.856243
2015-01-27 13:08:24.0000003,11.095262
2011-10-08 11:53:44.0000002,4.719554
2012-12-01 21:12:12.0000002,8.544918
2012-12-01 21:12:12.0000003,15.943658
2012-12-01 21:12:12.0000005,11.36141
2011-10-06 12:10:20.0000001,5.2215624
2011-10-06 12:10:20.0000003,48.427826
2011-10-06 12:10:20.0000002,11.920041
2014-02-18 15:22:20.0000002,6.6983075
2014-02-18 15:22:20.0000003,10.703714
2014-02-18 15:22:20.0000001,17.09567
2010-03-29 20:20:32.0000002,4.086212
2010-03-29 20:20:32.0000001,6.321452
2011-10-06 03:59:12.0000002,7.535934
2011-10-06 03:59:12.0000001,11.589637
2012-07-15 16:45:04.0000006,4.601694
2012-07-15 16:45:04.0000002,8.710605
2012-07-15 16:45:04.0000003,5.0566897
2012-07-15 16:45:04.0000004,4.9504137
2014-10-29 02:09:56.0000001,7.258404
2014-06-14 13:39:00.00000010,8.751284
2014-06-14 13:39:00.00000060,7.3815846
2014-06-14 13:39:00.00000087,9.073316
2014-06-14 13:39:00.00000050,19.243652
2014-06-14 13:39:00.0000003,6.84
2014-06-14 13:39:00.000000158,38.84134
2014-06-14 13:39:00.00000015,26.134611
2014-06-14 13:39:00.00000073,6.5014176
2014-06-14 13:39:00.00000077,16.341595
2014-06-14 13:39:00.000000145,10.514769
2014-06-14 13:39:00.00000079,6.7064447
2014-06-14 13:39:00.000000121,5.8203917
2014-06-14 13:39:00.00000021,11.243826
2014-06-14 13:39:00.0000005,9.270932
2014-06-14 13:39:00.000000165,7.941744
2014-06-14 13:39:00.000000184,6.698901
2014-06-14 13:39:00.00000059,6.088412
2014-06-14 13:39:00.00000070,7.9014087
2014-06-14 13:39:00.00000068,4.69523
2014-06-14 13:39:00.000000133,20.211897
2014-06-14 13:39:00.000000128,11.128556
2014-06-14 13:39:00.000000136,20.120222
2014-06-14 13:39:00.00000017,10.496191
2014-06-14 13:39:00.000000111,5.7610993
2014-06-14 13:39:00.000000115,12.365061
